what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1343234692204
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1343234692246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234692286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234695410
started,bundle,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms",1343234695435
started,bundle,com.android.ide.eclipse.traceview,20.0.0.v201206242043-391819,"com.android.ide.eclipse.traceview",1343234695495
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1343234695805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234702841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234728894
opened,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1343234728952
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1343234728978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234755609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234840833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343234840872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343234848372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343234849677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343234856239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234865820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234865856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234865915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343234867694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343234868010
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1343234868221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343234868630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343234869190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343234870105
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343235016768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235018341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235026736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235026744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235028987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235035123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235035132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235037763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235046387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235046392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235048829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235051053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235051061
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235056891
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235056976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235075498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235086587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235087643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235089240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235089874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235090236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235095499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235104635
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1343235116243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343235118867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343235126958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235136825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235137089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235137346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235137796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235138005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235138241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235138449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235138654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235138867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235139084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235139308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235139549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343235140502
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343235142026
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1343235142055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235143161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235148556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235148564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235151673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235155558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235155564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235156136
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343235159865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235160989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235167908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235167914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235170466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235180593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235180598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235182928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235189699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235189704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235191839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235197179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235197185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235199399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235201777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235201785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235205235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235205286
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235205287
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343235206830
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235209084
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343235210913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235212143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235217057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343235217067
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343235217623
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1343235219016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235224191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235228604
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1343235231480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235260307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235265391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235314829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235352438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235393089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235409665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235417994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235424482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235436848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343235439522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235449732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235450061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343235450303
